name,city,state,zipcode,address1,address2,category1_id,category2_id,category3_id,category1,category2,category3,phone,website,latitude,longitude
Haki Inc,Brooklyn,NY,11231,1 4th Place Apartment 1r,Not Available,0,0,0,Legal,Legal Services,Legal Services,9172079319,Not Available,40.679002,-74.001667
Azuma Yuka Company,Brooklyn,NY,11231,1 4th Place,Not Available,0,0,0,Other Business Services,"Services, NEC",Writing for Publication,7182431691,Not Available,40.679002,-74.001667
Pfoundation Works,Brooklyn,NY,11238,600 Carlton Avenue,Not Available,0,0,0,Associations/Non-Profits,"Civic, Social, and Fraternal Associations",Clubs,9176262322,Not Available,40.679008,-73.97198
El Nuevo Bonao Restaurant Corp,Brooklyn,NY,11207,123 Jamaica Avenue,Not Available,0,0,0,Restaurants & Bars,Restaurants,Restaurants,7183460285,Not Available,40.67901,-73.89573
Brown M,Brooklyn,NY,11233,1853 Fulton St,Not Available,0,0,0,Associations/Non-Profits,Religious Organizations,Clergy,7187356908,Not Available,40.67901,-73.923788
Greater Revelations Church,Brooklyn,NY,11233,1865 Fulton st<br/>apt d,Not Available,0,0,0,Associations/Non-Profits,Religious Organizations,Churches,6463978460,foreverchangedministry.com,40.67901,-73.92423
Hatlantic Records,Brooklyn,NY,11216,15 Herkimer Place<br/>15 Herkimer Place,Not Available,0,0,0,Nonclassifiable establishments,Nonclassifiable establishments,Nonclassified Establishments,7187892842,Not Available,40.67901,-73.95082
Little Scholars Family Group Daycare,Brooklyn,NY,11233,"Mac dougal st. Brooklyn NY,11233",Not Available,0,0,0,Consumer Services,Child Day Care Services,Child Care Services,9179750289,Not Available,40.67901483,-73.92
Akon Sewer Inc,Brooklyn,NY,11233,64 Hull St,Not Available,0,0,0,Agriculture,Lawn and Garden Services,Garden Services,7182764995,Not Available,40.679019,-73.914294
Nyc Children's Theatre Inc,Brooklyn,NY,11233,64 Hull St Apartment 2,Not Available,0,0,0,Travel & Leisure,Theatrical Producers (Except Motion Picture) and Miscellaneous Theatrical Servic,Theatrical Producers and Services,6462712113,Not Available,40.679019,-73.914294
Cavanagh Media LLC,Brooklyn,NY,11217,354 Douglass St,Not Available,0,0,0,Printing & Publishing,Commercial Art and Graphic Design,Film Strip and Slide Producer,3474074217,Not Available,40.679019,-73.981403
Brooklyn Auto Paint Body,Brooklyn,NY,11208,3053 Atlantic Ave,Not Available,0,0,0,Warehousing & Storage,General Warehousing and Storage,Storage,7182770700,Not Available,40.67902,-73.88204
DMAX PERFORMANCE.COM,Brooklyn,NY,11207,152 HENDRIX STREET,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Business Services (Unclassified),9177544061,dmaxsperformances.com,40.67902,-73.89099
Damian's Hair Styling,Brooklyn,NY,11231,417 Court St # A,Not Available,0,0,0,Consumer Services,Barber Shops,Barbers,7185966902,Not Available,40.67902,-73.99745
Dukhtar Productions LLC,Brooklyn,NY,11231,77 3rd Place Apartment 2,Not Available,0,0,0,Media,Motion Picture and Video Tape Production,Motion Picture Producers and Studios,3472234387,Not Available,40.679021,-73.998423
Deans Cleaning Service,Brooklyn,NY,11213,372 Herkimer St,Not Available,0,0,0,Other Business Services,"Building Cleaning and Maintenance Services, NEC",Industrial Cleaning Services,7187747188,Not Available,40.679023,-73.940926
Efficient Contracting Corp,Brooklyn,NY,11217,580 Sackett St,Not Available,0,0,0,Building & Construction,"Special Trade Contractors, NEC",Contractors,5168833501,Not Available,40.679025,-73.98556
Elaine & Luis Calix,Brooklyn,NY,11217,580 Sackett St,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Unclassified,0,Not Available,40.679025,-73.98556
Top Limo Service Inc,Brooklyn,NY,11231,137 Conover St,Not Available,0,0,0,Other Business Services,"Services, NEC",Services (Unclassified),3096645779,Not Available,40.679027,-74.012882
Crescent Street Express Deli Inc,Brooklyn,NY,11208,403 Crescent St,Not Available,0,0,0,Restaurants & Bars,Restaurants,Delicatessens,0,Not Available,40.679028,-73.870713
Pond 5 Inc,Brooklyn,NY,11231,21 Luquer St,Not Available,0,0,0,Travel & Leisure,"Bands, Orchestras, Actors, and Other Entertainers and Entertainment Groups",Entertainment Bureaus,6462332155,Not Available,40.679028,-74.004713
Unified Court System NY,Brooklyn,NY,11231,88 Visitation Place,Not Available,0,0,0,Government,Courts,State Courts,7189238270,nycourts.gov,40.67903,-74.00969
Red Hook Community Justice Center,Brooklyn,NY,11231,88 Visitation Place,Not Available,0,0,0,Associations/Non-Profits,"Membership Organizations, NEC",Organizations,7189238200,courtinnovation.org,40.67903,-74.00969
Kao Soy,Brooklyn,NY,11231,283 Van Brunt St,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Business Services (Unclassified),7188751155,Not Available,40.679031,-74.010715
Joloss Hair Braiding,Brooklyn,NY,11233,1822 Fulton St,Not Available,0,0,0,Consumer Services,Beauty Shops,Beauty Salons,9042076530,Not Available,40.679033,-73.927072
Smoke Patternz Productions Inc,Brooklyn,NY,11213,366 Herkimer St Apartment 4a,Not Available,0,0,0,Media,Motion Picture and Video Tape Distribution,Motion Picture and Tape Distributors,7184044800,Not Available,40.679033,-73.941103
Mayleen Travel And Cruises,Brooklyn,NY,11233,208 Saratoga Avenue,Not Available,0,0,0,Travel & Leisure,Travel Agencies,Travel Agencies,9176690329,Not Available,40.679034,-73.916586
Great Jones Productions,Brooklyn,NY,11231,12 2nd Street,Not Available,0,0,0,Media,Motion Picture and Video Tape Production,Video Production,9178536349,great-jones.com,40.679038,-73.995164
Flourish Films,Brooklyn,NY,11231,75 3rd Place Apartment 3,Not Available,0,0,0,Media,Services Allied to Motion Picture Production,Services Allied To Motion Pictures,7704210060,Not Available,40.679039,-73.998486
Persistance Of Vision Film Corp,Brooklyn,NY,11231,75 3rd Place Apartment 3,Not Available,0,0,0,Media,Motion Picture and Video Tape Production,Television Film Production,2127998438,Not Available,40.679039,-73.998486
Sensocare Dental Service,Brooklyn,NY,11233,15 Macdougal St,Not Available,0,0,0,Other Business Services,"Services, NEC",Services (Unclassified),7186041884,Not Available,40.67904,-73.92158
Macdougal Key & Security,Brooklyn,NY,11233,15 Macdougal St,Not Available,0,0,0,Consumer Services,"Repair Shops and Related Services, NEC",Locks and Locksmiths,9176211572,Not Available,40.67904,-73.92158
Prmie Med Care,Brooklyn,NY,11233,15 Macdougal St,Not Available,0,0,0,Healthcare,Offices and Clinics of Doctors of Medicine,Doctors,7186040717,Not Available,40.67904,-73.92158
Public School 93,Brooklyn,NY,11216,31 New York Avenue,Not Available,0,0,0,Educational Services,Elementary and Secondary Schools,Public Elementary and Secondary Schools,7186047363,Not Available,40.67904,-73.9468
Kinderstuff IV,Brooklyn,NY,11217,272 Flatbush Avenue,Not Available,0,0,0,Consumer Services,Child Day Care Services,Child Care Services,3473842774,Not Available,40.67904,-73.97388
N & Y Food Corp,Brooklyn,NY,11233,1816 Fulton St,Not Available,0,0,0,Shopping & Stores,Grocery Stores,Grocery Stores,9376872243,Not Available,40.679042,-73.927206
Allstate Insurance,Brooklyn,NY,11233,1816 Fulton St,Not Available,0,0,0,Insurance,"Insurance Agents, Brokers, and Service",Insurance Companies,7317849452,Not Available,40.679042,-73.927206
Park Place Projects,Brooklyn,NY,11217,40 Park Place,Not Available,0,0,0,Travel & Leisure,"Bands, Orchestras, Actors, and Other Entertainers and Entertainment Groups",Entertainment Services,2124753110,Not Available,40.679042,-73.977052
Julie Metz Design,Brooklyn,NY,11217,40 Park Place,Not Available,0,0,0,Computer Software,Computer Programming Services,"Computer Software Writers, Freelance",4082722606,Not Available,40.679042,-73.977052
Booklight Inc,Brooklyn,NY,11231,128 2nd Place,Not Available,0,0,0,Telecommunications & Wireless,"Telephone Communications, Except Radiotelephone",Online Service Providers,2124142275,lanternbooks.com,40.679042,-73.996163
Hi Fashions Beauty Salon,Brooklyn,NY,11217,297 Flatbush Avenue,Not Available,0,0,0,Consumer Services,Beauty Shops,Beauty Salons,7187839883,Not Available,40.679043,-73.973608
Marcy's Laundromat,Brooklyn,NY,11217,161 4th Avenue,Not Available,0,0,0,Consumer Services,Coin-Operated Laundries and Drycleaning,Coin-Operated Laundries and Cleaning,7183993494,Not Available,40.679043,-73.9818
Sunnyside Esso Service Station,Brooklyn,NY,11207,134 Jamaica Avenue,Not Available,0,0,0,Automotive Services,Gasoline Service Stations,Gasoline Service Stations,7182774056,Not Available,40.679046,-73.895186
Street Knowledge Media,Brooklyn,NY,11213,523 Herkimer St,Not Available,0,0,0,Telecommunications & Wireless,"Communications Services, NEC",Communications,3476615592,Not Available,40.679046,-73.936006
Vision Electric LLC,Brooklyn,NY,11208,1191 Liberty Avenue # 108,Not Available,0,0,0,Electrical,Electrical Work,Electrical Contractors,0,Not Available,40.67905,-73.865559
Bluebird Millinery Shop Inc,Brooklyn,NY,11208,1191 Liberty Avenue,Not Available,0,0,0,Shopping & Stores,Women's Accessory and Specialty Stores,Millinery Stores,7186473358,Not Available,40.67905,-73.865559
Polish Nail Salon,Brooklyn,NY,11217,117 5th Avenue,Not Available,0,0,0,Consumer Services,Beauty Shops,Manicurists,7183990313,Not Available,40.67905,-73.9786
Oakmel Enterprises LLC,Brooklyn,NY,11217,57 Hanson Place,Not Available,0,0,0,Real Estate,"Lessors of Real Property, NEC",Sub-Lessors of Real Estate,7186225717,Not Available,40.67905,-73.97653
Access Alliance LLC,Brooklyn,NY,11217,360 Douglass St,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Unclassified,7187835293,Not Available,40.679053,-73.981085
Labelium United States America,Brooklyn,NY,11217,374 Douglass St,Not Available,0,0,0,Nonclassifiable establishments,Nonclassifiable establishments,Nonclassified Establishments,3475295593,Not Available,40.679053,-73.981085
Security Intercoms Protection,Brooklyn,NY,11213,368 Herkimer St,Not Available,0,0,0,Other Business Services,Security Systems Services,Burglar and Security Systems Stores,7182215829,securityintercoms.com,40.679054,-73.939864
1 Towing 24 Hours,Brooklyn,NY,11208,1199 Liberty Avenue,Not Available,0,0,0,Automotive Services,"Automotive Services, Except Repair and Carwashes",Wrecker Services,7183075050,Not Available,40.679055,-73.865232
Rainbow,Brooklyn,NY,11208,1199 Liberty Avenue,Not Available,0,0,0,Shopping & Stores,Women's Clothing Stores,Women's Ready-To-Wear Apparel,7186471408,rainbowshops.com,40.679055,-73.865232
Discount Office Furniture Inc,Brooklyn,NY,11238,664 Bergen St Floor 3,Not Available,0,0,0,Shopping & Stores,Furniture Stores,Office Furniture,7188577888,nydof.com,40.679056,-73.967279
Dabf Inc,Brooklyn,NY,11238,664 Bergen St,Not Available,0,0,0,Other Business Services,Stationery and Office Supplies,Wholesale Business Forms and Systems,7182305523,Not Available,40.679056,-73.967279
Lawrence Shen,Brooklyn,NY,11231,73 3rd Place Apartment 1,Not Available,0,0,0,Professional Services,Architectural Services,Architects,7188589081,Not Available,40.679056,-73.99855
Nadia Smith,Brooklyn,NY,11238,163 Saint Marks Avenue,Not Available,0,0,0,Insurance,"Insurance Agents, Brokers, and Service",Insurance-Inspection and Audits,7187890831,Not Available,40.679057,-73.970464
Draftexpress LLC,Brooklyn,NY,11231,9 1st St,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Business Services (Unclassified),7188528216,Not Available,40.679058,-73.992683
Marien Grocery,Brooklyn,NY,11207,99 Jamaica Avenue,Not Available,0,0,0,Nonclassifiable establishments,Nonclassifiable establishments,Nonclassified Establishments,7183852066,Not Available,40.679059,-73.895771
Jamacia Food,Brooklyn,NY,11207,99 Jamaica Avenue,Not Available,0,0,0,Shopping & Stores,Grocery Stores,Food Stores,7183852066,Not Available,40.679059,-73.895771
Try Rae's First,Brooklyn,NY,11231,430 Court St,Not Available,0,0,0,Shopping & Stores,Family Clothing Stores,Clothing Stores,7189359573,Not Available,40.67906,-73.99756
Alcohol Tob Firearms Expl Bur,Brooklyn,NY,11231,300 Coffey St,Not Available,0,0,0,Government,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors","Alcoholic Beverage Control Board, Government",7185521610,atf.gov,40.67906,-74.01827
D C Access General Merchant,Brooklyn,NY,11233,115 Rockaway Avenue,Not Available,0,0,0,Nonclassifiable establishments,Nonclassifiable establishments,Nonclassified Establishments,7183450105,Not Available,40.679061,-73.910851
Calf Bk,Brooklyn,NY,11238,611 Vanderbilt Avenue,Not Available,0,0,0,Restaurants & Bars,Restaurants,Family Restaurants,3479151000,Not Available,40.679063,-73.968345
New Impact Barber Shop,Brooklyn,NY,11208,401 Crescent St,Not Available,0,0,0,Consumer Services,Barber Shops,Barbers,7182772014,Not Available,40.679064,-73.870721
Bismillash Kabab & Curry,Brooklyn,NY,11208,1203 Liberty Avenue,Not Available,0,0,0,Other Consumer Products & Services,Cutlery,"Table and Food Cutlery, Including Butchers'",7182353194,Not Available,40.679066,-73.865084
Crown Fried Chicken,Brooklyn,NY,11233,17 Macdougal St,Not Available,0,0,0,Restaurants & Bars,Restaurants,Restaurants,7184675039,Not Available,40.67907,-73.92153
H Q Beauty Supply,Brooklyn,NY,11233,17 Macdougal St,Not Available,0,0,0,Other Business Services,Service Establishment Equipment and Supplies,Wholesale Beauty Salon Equipment and Supplies,7184936075,Not Available,40.67907,-73.92153
Herkimer LLC,Brooklyn,NY,11216,35 Herkimer Place,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Business Services (Unclassified),7182304840,Not Available,40.67907,-73.95084
Auto Laundry Car Wash,Brooklyn,NY,11216,1119 Atlantic Avenue,Not Available,0,0,0,Automotive Services,Carwashes,Automotive Washing and Polishing,7186227429,Not Available,40.67907,-73.95412
Premier Debt Resolvers 2 Inc,Brooklyn,NY,11217,615 Degraw St Floor 1,Not Available,0,0,0,Consumer Services,"Miscellaneous Personal Services, NEC",Credit and Debt Counseling Services,2014614357,Not Available,40.67907,-73.982844
Law Office Of Simon Goldberg Pllc,Brooklyn,NY,11217,615 Degraw St,Not Available,0,0,0,Legal,Legal Services,Legal Services,3476404357,Not Available,40.67907,-73.982844
Littlefield,Brooklyn,NY,11217,620 Degraw St,Not Available,0,0,0,Restaurants & Bars,Bars / Taverns,Night Clubs,7188553388,Not Available,40.67907,-73.98333
Ding Hao Liquor Inc,Brooklyn,NY,11208,1207 Liberty Avenue,Not Available,0,0,0,Shopping & Stores,Liquor Stores,Liquor Stores,7188271374,Not Available,40.679071,-73.865005
Bangla Super Market,Brooklyn,NY,11208,1211 Liberty Avenue,Not Available,0,0,0,Shopping & Stores,Grocery Stores,Food Stores,7182771875,Not Available,40.679072,-73.864985
Kush Yoga Mats,Brooklyn,NY,11217,86 Prospect Place,Not Available,0,0,0,Travel & Leisure,"Amusement and Recreation Services, NEC",Yoga Instructors,0,Not Available,40.679072,-73.975091
Simply Managed LLC,Brooklyn,NY,11217,315 Flatbush Avenue # 116,Not Available,0,0,0,Professional Services,Management Services,Management Services,6462218593,Not Available,40.679073,-73.965989
American Traveling Collection,Brooklyn,NY,11231,18 2nd St,Not Available,0,0,0,Travel & Leisure,Travel Agencies,Travel Agencies,7183891281,Not Available,40.679073,-73.994841
Baskin-Robbins,Brooklyn,NY,11208,1213 Liberty Avenue,Not Available,0,0,0,Restaurants & Bars,Restaurants,Ice Cream Parlors,7183489282,baskinrobbins.com,40.679074,-73.864953
A 24 Hour All Over Locksmith,Brooklyn,NY,11208,1215 Liberty Avenue,Not Available,0,0,0,Consumer Services,"Repair Shops and Related Services, NEC",Locks and Locksmiths,7182771708,Not Available,40.679075,-73.864935
Motin Spicy & Sweets,Brooklyn,NY,11208,1215 Liberty Avenue,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Unclassified,7182777778,Not Available,40.679075,-73.864935
Derrick Cole,Brooklyn,NY,11208,467 Grant Avenue,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Unclassified,7188279105,Not Available,40.679076,-73.866127
Jj Rosenberg Elec Contractor,Brooklyn,NY,11216,27 Herkimer Place,Not Available,0,0,0,Electrical,Electrical Work,Electrical Designers,7186384544,Not Available,40.679076,-73.950842
Evan Rose Media Inc,Brooklyn,NY,11217,350 Douglass St,Not Available,0,0,0,Telecommunications & Wireless,"Communications Services, NEC",Communications,3475294504,Not Available,40.679076,-73.981544
Go Teresita MD,Brooklyn,NY,11208,1219 Liberty Avenue,Not Available,0,0,0,Healthcare,Offices and Clinics of Doctors of Medicine,Physicians Offices,7182771347,Not Available,40.679079,-73.864878
Ozone Park Medical Care,Brooklyn,NY,11208,1219 Liberty Avenue,Not Available,0,0,0,Healthcare,Offices and Clinics of Doctors of Medicine,Primary Care Centers,7182354700,Not Available,40.679079,-73.864878
Rahman Mohammad M MD,Brooklyn,NY,11208,1219 Liberty Avenue,Not Available,0,0,0,Healthcare,Offices and Clinics of Doctors of Medicine,Doctors,7182354700,Not Available,40.679079,-73.864878
Eusuf Sheikh M DDS,Brooklyn,NY,11208,1219 Liberty Avenue,Not Available,0,0,0,Healthcare,Offices and Clinics of Dentists,Dentists,7182354700,Not Available,40.679079,-73.864878
Mountain Side Crafts Inc,Brooklyn,NY,11208,187 Elton St,Not Available,0,0,0,Shopping & Stores,"Hobby, Toy, and Game Shops",Crafts,6469827886,Not Available,40.67908,-73.884263
Vigi Plumbing & Heating,Brooklyn,NY,11216,1156 Atlantic Avenue,Not Available,0,0,0,Other Consumer Products & Services,"Plumbing, Heating, and Air-Conditioning",Plumbers and Plumbing Contractors,7182102957,Not Available,40.67908,-73.95472
Pranayama Art Inc,Brooklyn,NY,11238,831 Dean St,Not Available,0,0,0,Shopping & Stores,"Miscellaneous Retail Stores, NEC",Picture Frames Dealers,7182305781,pranayamaart.com,40.67908,-73.96245
James,Brooklyn,NY,11238,605 Carlton Avenue,Not Available,0,0,0,Restaurants & Bars,Restaurants,Restaurants,7189424255,jamesrestaurantny.com,40.67908,-73.97171
La Solucion Flat Fixed Inc,Brooklyn,NY,11207,1731 Bushwick Avenue,Not Available,0,0,0,Shopping & Stores,Auto and Home Supply Stores,Tire Shops,7185668404,Not Available,40.679084,-73.89924
Kennith Masonry & Paving,Brooklyn,NY,11207,146 Jamaica Ave,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Business Services (Unclassified),9292583551,Not Available,40.679085,-73.894895
Kennith Electric.,Brooklyn,NY,11207,146 Jamaica Ave,Not Available,0,0,0,Electrical,Electrical Work,Electrical Contractors,9292583074,Not Available,40.679085,-73.894895
Zion Family Children Group LLC,Brooklyn,NY,11233,49 Hull St,Not Available,0,0,0,Associations/Non-Profits,Individual and Family Social Services,Social Service and Welfare Organizations,7187747179,Not Available,40.679087,-73.916124
F&N Development Ltd,Brooklyn,NY,11231,42 Delevan St,Not Available,0,0,0,Real Estate,"Land Subdividers and Developers, Except Cemeteries",Real Estate Developers,0,Not Available,40.679088,-74.006806
Gregan Management Inc,Brooklyn,NY,11231,26 Delevan St,Not Available,0,0,0,Real Estate,Real Estate Agents and Managers,Real Estate Leasing and Rentals,7182228162,Not Available,40.679088,-74.006806
Head Productions,Brooklyn,NY,11231,42 Delevan St,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Artists Agents,4153680738,Not Available,40.679088,-74.006806
Bator Bintor Inc,Brooklyn,NY,11231,42 Delevan St,Not Available,0,0,0,Building & Construction,Millwork,Wooden Window Manufacturers,7187973375,Not Available,40.679088,-74.006806
Happy Owl Media Inc,Brooklyn,NY,11231,42 Delevan St,Not Available,0,0,0,Professional Services,"Business Consulting Services, NEC",Publishing Consultants,9175866514,happyowlmedia.com,40.679088,-74.006806
American Biomed Ambulette,Brooklyn,NY,11207,11 Wyona St,Not Available,0,0,0,Passenger Car Leasing,"Local Passenger Transportation, NEC",Ambulance Services,7182358915,americanbiomed.net,40.67909,-73.8947
Michael Borruto General Contr,Brooklyn,NY,11213,437 Herkimer St,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Business Services (Unclassified),7186042916,Not Available,40.67909,-73.93887
Famous Horse Inc,Brooklyn,NY,11216,556 Nostrand Avenue,Not Available,0,0,0,Shopping & Stores,Family Clothing Stores,Clothing Stores,7186221082,Not Available,40.67909,-73.94969
Brooklyn Cleaners Depot,Brooklyn,NY,11216,1146 Atlantic Avenue,Not Available,0,0,0,Consumer Services,"Drycleaning Plants, Except Rug Cleaning","Cleaning and Dyeing, Except Rugs",7183986800,Not Available,40.67909,-73.95528
A Mr Walk in Box,Brooklyn,NY,11216,1146 Atlantic Avenue,Not Available,0,0,0,Restaurants & Bars,Restaurants,Chain Fast Food Restaurants,7187832424,Not Available,40.67909,-73.95528
St Joseph Tire Repair,Brooklyn,NY,11238,613 Washington Avenue,Not Available,0,0,0,Automotive Services,Tire Retreading and Repair Shops,Tire Repair Shops,7187833547,Not Available,40.67909,-73.96395
Empire Pest Control,Brooklyn,NY,11231,438 Court Street,Not Available,0,0,0,Other Business Services,Disinfecting and Pest Control Services,Pest Control,7182370989,empirepestcontrol.com,40.67909,-73.99747
Metal And Thread,Brooklyn,NY,11231,398 Van Brunt Street,Not Available,0,0,0,Apparel,"Piece Goods, Notions, and Other Dry Goods",Wholesale Thread,2129791613,metalthread.com,40.67909,-74.01126
Allied Response Consultancy LLC,Brooklyn,NY,11217,99 6th Avenue,Not Available,0,0,0,Professional Services,"Business Consulting Services, NEC",Business Consultants,2128821120,Not Available,40.679093,-73.975289
Mike Variety,Brooklyn,NY,11233,25 Macdougal St # A,Not Available,0,0,0,Shopping & Stores,Variety Stores,Variety Stores,7184843556,Not Available,40.679095,-73.92139
S & P Hook Up,Brooklyn,NY,11233,25 Macdougal St,Not Available,0,0,0,Nonclassifiable establishments,Nonclassifiable establishments,Nonclassified Establishments,3477505966,Not Available,40.679095,-73.92139
Platinum Skillz,Brooklyn,NY,11233,25 Macdougal St,Not Available,0,0,0,Consumer Services,Beauty Shops,Beauty Salons,7184671752,Not Available,40.679095,-73.92139
Cook Up Shop,Brooklyn,NY,11216,543 Nostrand Avenue,Not Available,0,0,0,Shopping & Stores,"Miscellaneous Retail Stores, NEC",Miscellaneous Retail Stores (Unclassified),3476272909,Not Available,40.679095,-73.949455
Easy File Tax Solution,Brooklyn,NY,11216,539 Nostrand Avenue,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Business Services (Unclassified),8598469162,Not Available,40.679095,-73.949455
Et Liquors,Brooklyn,NY,11216,551 Nostrand Avenue,Not Available,0,0,0,Restaurants & Bars,Bars / Taverns,Drinking Places,7183989890,Not Available,40.679095,-73.949455
Los Almendro Liquor Inc,Brooklyn,NY,11216,543 Nostrand Avenue,Not Available,0,0,0,Shopping & Stores,Liquor Stores,Liquor Stores,8007072894,Not Available,40.679095,-73.949455
Imagelink Productions,Brooklyn,NY,11217,11 Sterling Place Apartment 2d,Not Available,0,0,0,Advertising & Marketing,"Advertising, NEC",Transit and Transportation Advertising,7187898408,Not Available,40.679098,-73.978446
Erika Clark Photography,Brooklyn,NY,11217,11 Sterling Place Apartment 5b,Not Available,0,0,0,Consumer Services,"Photographic Studios, Portrait",Videographers,7188570294,Not Available,40.679098,-73.978446
Gregory Frux,Brooklyn,NY,11217,11 Sterling Place,Not Available,0,0,0,Associations/Non-Profits,Individual and Family Social Services,Social Service and Welfare Organizations,7187890334,frux.net,40.679098,-73.978446
East NY Child Placement,Brooklyn,NY,11207,2924 Fulton St,Not Available,0,0,0,Associations/Non-Profits,Individual and Family Social Services,Social Service and Welfare Organizations,7186477520,prfi.org,40.6791,-73.886912
Maxim Flatbush Inc,Brooklyn,NY,11216,570 Nostrand Avenue,Not Available,0,0,0,Pharmaceuticals,"Drugs, Drug Proprietaries, and Druggists' Sundries",Wholesale Cosmetics,7184628888,Not Available,40.6791,-73.94969
One Stop Main Beauty Supply,Brooklyn,NY,11216,570 Nostrand Avenue,Not Available,0,0,0,Professional Services,Management Services,Management Services,7183986760,Not Available,40.6791,-73.94969
Vsp Construction Corp,Brooklyn,NY,11231,2 Dwight St,Not Available,0,0,0,Building & Construction,"General Contractors-Nonresidential Buildings, Other than Industrial Buildings an",Commercial and Office Building Contractors,7182432235,Not Available,40.6791,-74.00562
Brooklyn Hardware Supply CO,Brooklyn,NY,11217,618 Degraw St,Not Available,0,0,0,Shopping & Stores,Hardware Stores,Hardware Stores,7186382666,brooklynhardwaresupply.com,40.679102,-73.983406
Surad Realty Corp,Brooklyn,NY,11213,400 Herkimer St Apartment Ld,Not Available,0,0,0,Real Estate,Real Estate Agents and Managers,Real Estate Buyers Representatives,7187737071,Not Available,40.679103,-73.940129
Tejada's Beauty Spot,Brooklyn,NY,11207,2897 Fulton St,Not Available,0,0,0,Travel & Leisure,Physical Fitness Facilities,Health Spas,3474047933,Not Available,40.679104,-73.887818
Gye Nyame Hair Gallery,Brooklyn,NY,11217,264 Flatbush Avenue,Not Available,0,0,0,Consumer Services,Beauty Shops,Beauty Salons,7183992200,gye-nyame.com,40.679104,-73.974019
Lee 138 Realty Corp,Brooklyn,NY,11231,375 Smith St,Not Available,0,0,0,Real Estate,Real Estate Agents and Managers,Real Estate Buyers Representatives,7186433774,Not Available,40.679104,-73.995415
Mohammed Tahir,Brooklyn,NY,11217,153 4th Avenue,Not Available,0,0,0,Healthcare,Offices and Clinics of Doctors of Medicine,Doctors,7182305811,Not Available,40.679105,-73.98161
Bayridge Physcial Therapy Service,Brooklyn,NY,11217,153 4th Avenue,Not Available,0,0,0,Other Business Services,"Services, NEC",Services (Unclassified),7187571264,Not Available,40.679105,-73.98161
White Castle,Brooklyn,NY,11208,3101 Atlantic Avenue,Not Available,0,0,0,Restaurants & Bars,Restaurants,Chain Fast Food Restaurants,7188276057,whitecastle.com,40.67911,-73.881
