name,city,state,zipcode,address1,address2,category1_id,category2_id,category3_id,category1,category2,category3,phone,website,latitude,longitude
Objectframe Technologies,Rochester,NY,14618,101 Valley Road,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Business Services (Unclassified),5852337959,Not Available,43.126791,-77.551923
Herz Arnold D,Port Washington,NY,11050,14 Vanderventer Avenue # 255,Not Available,0,0,0,Legal,Legal Services,Lawyers and Attorneys,5167670800,Not Available,40.828583,-73.684051
Celebrities Management Mktng,New York City,NY,10007,20 Vesey St Room 510,Not Available,0,0,0,Professional Services,Management Consulting Services,Marketing Consultants,2127483488,Not Available,40.711715,-74.009355
Steinfeld Philip S MD,Hewlett,NY,11557,1573 Broadway,Not Available,0,0,0,Healthcare,Offices and Clinics of Doctors of Medicine,Doctors,5163743322,Not Available,40.64472,-73.69337
Rsg Dental Health Care,New York City,NY,10022,488 Madison Avenue # 1712,Not Available,0,0,0,Healthcare,Offices and Clinics of Dentists,Dentists,2127599797,Not Available,40.758913,-73.974778
Reniassance Institute,Valley Stream,NY,11580,14 West Hawthorne Avenue,Not Available,0,0,0,Building & Construction,Lumber and Other Building Materials Dealers,Lumber Products,5165287473,Not Available,40.661,-73.70034
Pearl Palmer,New York City,NY,10025,792 Columbus Avenue Apartment 2t,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Business Services (Unclassified),2126635351,Not Available,40.794546,-73.9665
Belinda Jewelry,New York City,NY,10036,66 West 47th St,Not Available,0,0,0,Shopping & Stores,Jewelry Stores,Precious Stones and Precious Metal Jewelry,2129212820,Not Available,40.759396,-73.992846
Brashe Advertising Inc,Jericho,NY,11753,420 Jericho Turnpike # 320,Not Available,0,0,0,Advertising & Marketing,Advertising Agencies,Advertising Agencies,5169355544,brashe.com,40.793864,-73.536814
Pig & Whistle Pub Restaurant,New York City,NY,10036,165 West 47th St Front 2,Not Available,0,0,0,Restaurants & Bars,Restaurants,Restaurants,2123020112,pignwhistlets.com,40.759396,-73.992846
K K Modeling Management Inc,New York City,NY,10006,2 Rector St Room 1202,Not Available,0,0,0,Professional Services,Management Services,Management Services,5026146367,Not Available,40.707992,-74.013208
Diasqua Inc,New York City,NY,10036,62 West 47th St # 902,Not Available,0,0,0,Other Consumer Products & Services,"Jewelry, Watches, Precious Stones, and Precious Metals",Wholesale Diamonds,2127682777,diasqua.com,40.759396,-73.992846
Touch Gasoline,Elmont,NY,11003,1587 Hempstead Turnpike,Not Available,0,0,0,Automotive Services,Gasoline Service Stations,Gasoline Service Stations,5167755200,Not Available,40.707369,-73.70007
Is Ila Realty Corp,New York City,NY,10011,39 West 19th St Room 609,Not Available,0,0,0,Real Estate,Real Estate Agents and Managers,Real Estate,2126452355,Not Available,40.739777,-73.992853
Evanson Studios,New York City,NY,10012,1 Bond St Apartment 5b,Not Available,0,0,0,Furnishings,"Wood Household Furniture, Except Upholstered",Wood Furniture ,2127776943,evansonstudios.com,40.726885,-73.994748
Adaskin Avian Arts,Rochester,NY,14616,89 Sandalwood Drive,Not Available,0,0,0,Other Business Services,"Services, NEC",Fine Arts Artists,5856632156,adaskinavianarts.com,43.248534,-77.640767
Officespace Software Inc,New York City,NY,10003,228 Park Avenue South 39903,Not Available,0,0,0,Professional Services,Management Services,Management Services,6462019664,Not Available,40.737698,-73.988456
Carbajal Mendo Roger F MD,New York City,NY,10029,1918 1st Avenue,Not Available,0,0,0,Healthcare,Offices and Clinics of Doctors of Medicine,Doctors,6463261915,Not Available,40.784974,-73.94338
Nuss Charles R DO,New York City,NY,10023,115 Central Park West # 1,Not Available,0,0,0,Healthcare,Offices and Clinics of Doctors of Medicine,Doctors,2129325220,Not Available,40.775686,-73.976668
Coombs Travel And Cruises,Westbury,NY,11590,15 Jackie Drive,Not Available,0,0,0,Travel & Leisure,Travel Agencies,Travel Agencies,5163389639,Not Available,40.770945,-73.551666
Created S Kaleieoeyes,East Meadow,NY,11554,2568 Hempstead Turnpike,Not Available,0,0,0,Printing & Publishing,Commercial Art and Graphic Design,Graphic Designers,5166052828,Not Available,40.723968,-73.540707
Rivera Pedro J MD,New York City,NY,10016,462 1st Avenue,Not Available,0,0,0,Healthcare,Offices and Clinics of Doctors of Medicine,Doctors,2122637300,Not Available,40.739496,-73.976636
Seilhan Kamila DO,New York City,NY,10065,201 East 65th St,Not Available,0,0,0,Healthcare,Offices and Clinics of Doctors of Medicine,Doctors,2128794700,yafferuden.com,40.76517,-73.9634
Robelan Displays Inc,Hempstead,NY,11550,395 Westbury Boulevard,Not Available,0,0,0,Fabrication,"Commercial Equipment, NEC",Store Fixtures and Display Equipment,5165648600,robelan.net,40.72159,-73.60826
Ferrer & Nolan,New York City,NY,10022,485 Madison Avenue Floor 15,Not Available,0,0,0,Legal,Legal Services,Legal Services,2125931262,Not Available,40.758815,-73.974815
Brown-Holt Productions,New York City,NY,10019,250 West 52nd St,Not Available,0,0,0,Media,Motion Picture and Video Tape Distribution,Motion Picture and Tape Distributors,2123332032,Not Available,40.763136,-73.984603
Li Pro Nails,Hicksville,NY,11801,23 Hunter St,Not Available,0,0,0,Consumer Services,Beauty Shops,Manicurists,5169325745,Not Available,40.752716,-73.51689
XtremeGIS,New York City,NY,10005,110 Wall Street<br>Floor 15,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Business Services (Unclassified),2126350100,Not Available,40.70491,-74.00637
Opong Adomah S,New York City,NY,10021,1305 York Avenue,Not Available,0,0,0,Healthcare,"Offices and Clinics of Health Practitioners, NEC",Nurse Practitioners,2127462115,Not Available,40.765261,-73.954992
Dlala,New York City,NY,10009,149 Avenue A Front 1,Not Available,0,0,0,Consumer Services,Beauty Shops,Hair Treatments,2127775252,Not Available,40.727426,-73.982541
To The Max Physical Therapy Pc,New Hyde Park,NY,11040,15 Jericho Turnpike,Not Available,0,0,0,Healthcare,"Offices and Clinics of Health Practitioners, NEC",Physical Therapists,5023146584,Not Available,40.73099,-73.693306
B & L,New York City,NY,10028,312 East 85th St,Not Available,0,0,0,Travel & Leisure,Hotels and Motels,Hotels and Motels,2129888394,Not Available,40.777005,-73.951931
Ward Jj & Assoc,New York City,NY,10021,345 East 69th St Apartment 9,Not Available,0,0,0,Professional Services,Management Consulting Services,Business Management Consultants,2124390067,Not Available,40.766464,-73.958664
Rogers Ellen,New York City,NY,10016,117 East 37th St,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Business Services (Unclassified),2124277449,Not Available,40.748496,-73.978724
Glyn Machine USA LLC,New York City,NY,10022,232 East 59th St Floor Mezz,Not Available,0,0,0,Consumer Services,"Repair Shops and Related Services, NEC",Industrial Equipment and Supplies Repairs,2122074045,glynpetermachin.com,40.76089,-73.96514
Miami Fried Chicken,New York City,NY,10027,321 West 125th St,Not Available,0,0,0,Restaurants & Bars,Restaurants,Chicken Restaurants,0,Not Available,40.810823,-73.952334
Jewels By Park Lane Inc,Floral Park,NY,11001,170 Ash St,Not Available,0,0,0,Shopping & Stores,Jewelry Stores,Precious Stones and Precious Metal Jewelry,5164374653,Not Available,40.714893,-73.692612
Pam's Travel Magic,Rochester,NY,14616,116 Parklands Drive,Not Available,0,0,0,Travel & Leisure,Travel Agencies,Travel Agencies,5857048735,20028379.travsearch.com,43.235678,-77.662762
Greenberg Jay R,New York City,NY,10024,275 Central Park West Apartment 1bb,Not Available,0,0,0,Healthcare,Offices and Clinics of Doctors of Medicine,Psychiatric Centers,2125955927,Not Available,40.786402,-73.96858
Bright Star Country Day School,Oceanside,NY,11572,3159 Royal Avenue,Not Available,0,0,0,Consumer Services,Child Day Care Services,Group Day Care Center,5167665699,brightstarschoolandcamp.com,40.633602,-73.654719
Tom Orr,Hicksville,NY,11801,26 Elm St,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Unclassified,5168226413,Not Available,40.770589,-73.51321
Nypd Atm Corp,New York City,NY,10032,2119 Amsterdam Avenue,Not Available,0,0,0,Shopping & Stores,Grocery Stores,Grocery Stores,2125432119,Not Available,40.838012,-73.938064
White Castle,Massapequa,NY,11758,6207 Sunrise Highway,Not Available,0,0,0,Restaurants & Bars,Restaurants,Chain Fast Food Restaurants,5167994641,whitecastle.com,40.684,-73.4288
V-R Fashions Inc,New York City,NY,10018,1410 Broadway,Not Available,0,0,0,Apparel,"Women's, Children's, and Infants' Clothing and Accessories",Wholesale Women's Apparel,2123549215,Not Available,40.753444,-73.986955
Whitewood North Hills,Roslyn,NY,11576,50 Willets Pond Path,Not Available,0,0,0,Real Estate,Operators of Apartment Buildings,Apartments,5167473037,Not Available,40.768012,-73.668311
Cold Spring Plow LLC / David Waldinger,Plainview,NY,11803,76 Northern Parkway West,Not Available,0,0,0,Machinery & Equipment,Industrial Supplies,Springs,5167619275,Not Available,40.786089,-73.487319
Icl Recovery Corp,Hempstead,NY,11550,230 Hilton Avenue # 14,Not Available,0,0,0,Professional Services,Adjustment and Collection Services,"Collection Agency, Except Real Estate",5162920303,Not Available,40.714088,-73.634441
Hussain Grocery,New York City,NY,10028,1585 2nd Avenue,Not Available,0,0,0,Shopping & Stores,Grocery Stores,Grocery Stores,0,Not Available,40.775532,-73.953656
Robert Alan Martin,Rochester,NY,14616,341 Maiden Lane,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Unclassified,5852305149,Not Available,43.223603,-77.651167
Kwittken & CO,New York City,NY,10013,160 Varick St Floor 4,Not Available,0,0,0,Professional Services,Public Relations Services,Public Relations Counselors,6462777111,kwitco.com,40.72657,-74.005561
Simpson Leatrice MD,New York City,NY,10021,200 East 71st St Apartment 14g,Not Available,0,0,0,Healthcare,Offices and Clinics of Doctors of Medicine,Doctors,2128381313,Not Available,40.769299,-73.957453
Ing Associates,Rochester,NY,14621,1415 Portland Avenue # 580,Not Available,0,0,0,Professional Services,Management Consulting Services,Business Management Consultants,5852669309,Not Available,43.19177,-77.58443
M F S Sculpture Jewelry Inc,New York City,NY,10017,870 United Nations Plaza,Not Available,0,0,0,Other Consumer Products & Services,"Jewelry, Watches, Precious Stones, and Precious Metals",Wholesale Jewelers,2127596789,Not Available,40.752997,-73.966518
Mocellin Maria C,New York City,NY,10032,3940 Broadway # 2,Not Available,0,0,0,Associations/Non-Profits,Individual and Family Social Services,Social Workers,2127815500,Not Available,40.83949,-73.94072
Advanced Watercraft Products,Farmingdale,NY,11735,151 Allen Boulevard # 1,Not Available,0,0,0,Other Consumer Products & Services,Boat Dealers,Boat Dealers,6317532479,Not Available,40.715921,-73.414404
Shah Hitesh H MD,Great Neck,NY,11021,100 Community Drive,Not Available,0,0,0,Healthcare,Offices and Clinics of Doctors of Medicine,Doctors,5164658200,Not Available,40.78698,-73.70529
Wang Jun Fang DDS,New York City,NY,10002,120 East Broadway,Not Available,0,0,0,Healthcare,Offices and Clinics of Doctors of Medicine,Family Practice Doctors,2122338848,Not Available,40.713758,-73.992336
Fifth Avenue Ctr-Counseling,New York City,NY,10010,50 West 23rd St Floor 9,Not Available,0,0,0,Associations/Non-Profits,Individual and Family Social Services,Counseling Services,2129892990,Not Available,40.74237,-73.99168
Clear Cut Productions,New York City,NY,10032,260 Fort Washington Avenue 4a,Not Available,0,0,0,Consumer Services,Beauty Shops,Beauty Salons,5189612725,Not Available,40.84386,-73.941081
Wolfe Steven MD,Rochester,NY,14611,89 Genesee St # 1,Not Available,0,0,0,Healthcare,Offices and Clinics of Doctors of Medicine,Doctors,5857237000,unityhealth.org,43.149229,-77.636141
Allen Gems Inc,New York City,NY,10036,71 West 47th St # 302,Not Available,0,0,0,Shopping & Stores,Jewelry Stores,Precious Stones and Precious Metal Jewelry,0,Not Available,40.758034,-73.98143
Flute,New York City,NY,10019,205 West 54th St Basement 1,Not Available,0,0,0,Restaurants & Bars,Bars / Taverns,Drinking Places,2122655169,flutebar.com,40.763689,-73.981592
Cave Jr William T MD,Rochester,NY,14642,Po Box 693,Not Available,0,0,0,Healthcare,Offices and Clinics of Doctors of Medicine,Doctors,5852752901,Not Available,43.12224,-77.6252
Farmingdale Carpet Cleaning Pro,Farmingdale,NY,11735,850 Fulton Street,Not Available,0,0,0,Consumer Services,Carpet and Upholstery Cleaning,Carpet and Rug Repairs,5163368205,Not Available,40.72667,-73.44145
Michael Angiulo & Associates LLC,Syosset,NY,11791,6800 Jericho Turnpike # 110W,Not Available,0,0,0,Legal,Legal Services,Lawyers and Attorneys,5169212077,michaelangiulo.com,40.80811,-73.52048
Trakhtenberg Yelena A MD,Garden City,NY,11530,200 Garden City Plaza # 130,Not Available,0,0,0,Healthcare,Offices and Clinics of Doctors of Medicine,Ophthalmologists,5167422020,tlcvision.com,40.737777,-73.616594
Chen Laundromat,New York City,NY,10003,350 East 20th St,Not Available,0,0,0,Consumer Services,Coin-Operated Laundries and Drycleaning,Coin-Operated Laundries and Cleaning,2127778017,Not Available,40.73519,-73.9804
David M Goldberg,New York City,NY,10003,41 East 20th St Floor 3,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Unclassified,5402871889,Not Available,40.738655,-73.988154
W G Project Management,New York City,NY,10016,51 Newark St,Not Available,0,0,0,Professional Services,Management Services,Management Services,2126844565,wg-pm.com,40.638362,-74.143231
Rolling Dog Productions,New York City,NY,10024,514 West End Avenue Apartment 7a,Not Available,0,0,0,Travel & Leisure,Theatrical Producers (Except Motion Picture) and Miscellaneous Theatrical Servic,Community Theater Production,2127120038,Not Available,40.788013,-73.978287
Wu Tony D DDS,New York City,NY,10011,25 Washington Square North,Not Available,0,0,0,Healthcare,Offices and Clinics of Dentists,Dentist Offices,2125981008,Not Available,40.731582,-73.997076
Gift n Greetings Usa Inc,Westbury,NY,11590,661 Hickory St,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Business Services (Unclassified),3399273139,Not Available,40.74015,-73.5746
Kennedy Drafting Plus Inc,Massapequa,NY,11758,32 Jackson Place,Not Available,0,0,0,Other Business Services,"Business Services, NEC","Advertising, Promotional, and Trade Show Services",5167950257,Not Available,40.658587,-73.483568
Hanover Realty Group Ltd,New York City,NY,10022,19 Benedict Place,Not Available,0,0,0,Real Estate,Real Estate Agents and Managers,Real Estate,2127559550,Not Available,40.75923,-73.96953
Chibbaro Patricia D,New York City,NY,10016,560 1st Avenue,Not Available,0,0,0,Healthcare,"Offices and Clinics of Health Practitioners, NEC",Nurse Practitioners,2122637410,Not Available,40.74297,-73.9741
Beardsall And Associates Inc,New York City,NY,10022,227 East 57th St,Not Available,0,0,0,Professional Services,Management Consulting Services,Business Management Consultants,2124867606,Not Available,40.760223,-73.967092
Lightspeed Connections,New York City,NY,10018,54 West 39th St,Not Available,0,0,0,E-Commerce & IT Outsourcing,"Computer Related Services, NEC",Computer Consultants,2124535650,lsconnections.com,40.752265,-73.98404
Mutsui Leasing Capital Corp,New York City,NY,10017,50 East 42nd St Room 501,Not Available,0,0,0,Building & Construction,"Equipment Rental and Leasing, NEC",Leasing Services,2124901684,Not Available,40.751604,-73.972384
Tiffin Wallah Restaurant,New York City,NY,10016,127 East 28th St Front A,Not Available,0,0,0,Restaurants & Bars,Restaurants,Family Restaurants,2126857301,tiffinwallah.us,40.742699,-73.982552
Alexander Wolf & Co,New York City,NY,10016,41 East 28th St,Not Available,0,0,0,Travel & Leisure,Travel Agencies,Travel Agencies,2122510740,Not Available,40.743668,-73.984521
Sexxmoneyydrugzz,New York City,NY,10029,1295 5th ave,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Business Services (Unclassified),6466287342,Not Available,40.79698,-73.94915
Roemmelt Woodworking Inc,Sea Cliff,NY,11579,221 Glen Cove Avenue,Not Available,0,0,0,Shopping & Stores,Furniture Stores,Cabinets,5166715473,Not Available,40.848614,-73.635728
Skinney Medspa,New York City,NY,10003,228 East 56th St,Not Available,0,0,0,Travel & Leisure,Physical Fitness Facilities,Health Spas,2127546639,skinneymedspa.com,40.758985,-73.966993
Sloan Pearce DPM,Rochester,NY,14618,2225 Clinton Avenue South,Not Available,0,0,0,Healthcare,Offices and Clinics of Podiatrists,Podiatrists,5854735051,metrofootcare.com,43.11565,-77.59693
Goudas Vasilios T MD,New York City,NY,10016,16 East 40th St,Not Available,0,0,0,Healthcare,Offices and Clinics of Doctors of Medicine,Doctors,2128084400,Not Available,40.751637,-73.980636
Privet Taxi Inc,New York City,NY,10001,313 10th Avenue,Not Available,0,0,0,Passenger Car Leasing,Taxicabs,Taxis and Transportation Services,2122446553,Not Available,40.751017,-74.001947
Cabot-Lodge D,New York City,NY,10014,102 Charlton St,Not Available,0,0,0,Nonclassifiable establishments,Nonclassifiable establishments,Nonclassified Establishments,2122437291,Not Available,40.727312,-74.007471
Be Bop,New York City,NY,10018,1407 Broadway Room 1618,Not Available,0,0,0,Shopping & Stores,Family Clothing Stores,Clothing Stores,2127646977,Not Available,40.753348,-73.987211
Saml Grundman,Floral Park,NY,11001,25615 87th Avenue,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Unclassified,7183430862,Not Available,40.731234,-73.709142
Twenty Twenty Convenience,Rochester,NY,14626,2020 West Ridge Road,Not Available,0,0,0,Shopping & Stores,Grocery Stores,Convenience Stores,5852259680,Not Available,43.20768,-77.68171
Morgan Stanley Abs Capital I Inc Trust 2007-He1,New York City,NY,10036,1585 Broadway Front 2,Not Available,0,0,0,Legal,"Trusts, Except Educational, Religious, and Charitable",Trust Services,5625298508,morganstanley.com,40.760013,-73.985041
Morgan Stanley Abs Capital I Inc Trust 2007-He5,New York City,NY,10036,1585 Broadway Lower B,Not Available,0,0,0,Legal,"Trusts, Except Educational, Religious, and Charitable",Trust Services,9133626088,Not Available,40.760013,-73.985041
Stateside Corp,New York City,NY,10005,48 Wall St Floor 11,Not Available,0,0,0,Professional Services,Management Consulting Services,Financial Consultants,2129184711,stateside.com,40.706415,-74.009439
Firestone John R,New York City,NY,10022,600 Madison Avenue Floor 12,Not Available,0,0,0,Legal,Legal Services,Lawyers and Attorneys,2129803500,Not Available,40.762655,-73.972177
Arclight Theater,New York City,NY,10023,152 West 71st St,Not Available,0,0,0,Travel & Leisure,Theatrical Producers (Except Motion Picture) and Miscellaneous Theatrical Servic,Theatrical Producers and Services,2125950355,Not Available,40.7774,-73.981
Updates & Designs,Rochester,NY,14623,1749 Scottsville Road,Not Available,0,0,0,Information Technology,Computer Integrated Systems Design,Cad Systems and Services,5853287897,updatesanddesigns.com,43.08916,-77.68337
Clara Barton School Dist 2,Rochester,NY,14608,190 Reynolds St,Not Available,0,0,0,Educational Services,Elementary and Secondary Schools,Public Elementary School,5852352820,rcsdk12.org,43.14476,-77.62601
Camp Loyaltown,Glen Head,NY,11545,189 Wheatley Road,Not Available,0,0,0,Associations/Non-Profits,"Membership Organizations, NEC",Organizations,5166261000,camployaltown.org,40.808593,-73.579585
Thrive Clothing CO Inc,New York City,NY,10013,9 Desbrosses St,Not Available,0,0,0,Shopping & Stores,Women's Clothing Stores,Women's Ready-To-Wear Apparel,2123343884,Not Available,40.723275,-74.008468
"Graphic Design USA, New York, NY, USA",New York City,NY,10003,89 5th Ave Suite # 901,Not Available,0,0,0,Printing & Publishing,"Periodicals: Publishing, or Publishing and Printing",Magazine Publishers,2126964380,gdusa.com/,40.73762,-73.99244
Mc Hugh-Salera Susan E,New York City,NY,10029,1 Gustave L Levy Place,Not Available,0,0,0,Healthcare,"Offices and Clinics of Health Practitioners, NEC",Nurse Practitioners,2122416500,Not Available,40.790511,-73.953832
Art of Form Architects Pc,New York City,NY,10001,224 West 30th St,Not Available,0,0,0,Professional Services,Architectural Services,Architects and Engineers,2122397993,artofform.com,40.748736,-73.993233
Broadway Look Inc,New York City,NY,10018,1359 Broadway,Not Available,0,0,0,Shopping & Stores,Family Clothing Stores,Clothing Stores,2122689720,Not Available,40.751728,-73.987605
Holt & Flowers Physical Therapy Associates,Freeport,NY,11520,249 Pine St,Not Available,0,0,0,Healthcare,Offices and Clinics of Doctors of Medicine,Doctors,5163790035,Not Available,40.654216,-73.593124
Vintage Hali,New York City,NY,10016,13 E 30th Street,Not Available,0,0,0,Nonclassifiable establishments,Nonclassifiable establishments,Nonclassified Establishments,8607941064,kokorugs.com,40.7457232,-73.9853444
Ebony Investigation,New York City,NY,10025,733 Amsterdam Avenue Apartment 26a,Not Available,0,0,0,Other Business Services,"Detective, Guard, and Armored Car Services",Detective Agencies,2126621893,Not Available,40.79372,-73.970404
Chiropractic Wellness Center,New York City,NY,10005,99 Wall St # 1700,Not Available,0,0,0,Healthcare,Offices and Clinics of Chiropractors,Chiropractors,2129646000,drjaychait.com,40.70492,-74.00719
Garage Management CO,New York City,NY,10011,2 5th Avenue,Not Available,0,0,0,Consumer Services,Automobile Parking,Parking Garages,2125338312,gmcparking.com,40.731336,-73.996811
Heungman's Photography,New York City,NY,10002,19 Stanton St,Not Available,0,0,0,Printing & Publishing,Commercial Photography,Commercial Photographers,2122282882,Not Available,40.722321,-73.991883
North Shore Chha,Westbury,NY,11590,972 Brush Hollow Road,Not Available,0,0,0,Healthcare,Home Health Care Services,Home Health Care Services,5168765300,Not Available,40.773103,-73.562101
Pluggedin Co LLC,Rochester,NY,14614,300 State St # 403,Not Available,0,0,0,Professional Services,"Commercial Economic, Sociological, and Educational Research",Market Research and Analysis,5853257910,Not Available,43.16052,-77.618005
Heavenly Family Day Care,New York City,NY,10032,1909 Amsterdam Avenue,Not Available,0,0,0,Consumer Services,Child Day Care Services,Child Care Services,2123686261,Not Available,40.831169,-73.943066
Nelkin Ms,New York City,NY,10020,10 Rockefeller Plaza,Not Available,0,0,0,Shopping & Stores,Jewelry Stores,Precious Stones and Precious Metal Jewelry,2125863852,msnelkin.com,40.758122,-73.979221
Grameen America Inc,New York City,NY,10036,1460 Broadway Floor 2,Not Available,0,0,0,Other Public Sector,"Social Services, NEC",Community Development Groups,2127354043,grameenamerica.org,40.755472,-73.986314
Framco Global Ac Refrig,Mineola,NY,11501,38 Windsor Avenue,Not Available,0,0,0,Other Consumer Products & Services,"Plumbing, Heating, and Air-Conditioning",Warm Air Heating and Air Conditioning Contractors,5162631342,Not Available,40.753224,-73.634926
Chan Johnson C MD,Freeport,NY,11520,190 West Merrick Road # 1m,Not Available,0,0,0,Healthcare,Offices and Clinics of Doctors of Medicine,Family Practice Doctors,5168688333,Not Available,40.652724,-73.588925
John's Pizzeria,New York City,NY,10065,408 East 64th St Front 1,Not Available,0,0,0,Restaurants & Bars,Restaurants,Independent Pizzerias,2129352895,johnspizzerianyc.com,40.76249,-73.959186
Computer Resource Network,Cedarhurst,NY,11516,3265 Judith Lane,Not Available,0,0,0,Other Consumer Products & Services,Computer and Computer Software Stores,Computer Sales,5162952202,Not Available,40.62463,-73.72641
Orit Schiff Cpa,Woodmere,NY,11598,974 Allen Lane,Not Available,0,0,0,Professional Services,"Accounting, Auditing, and Bookkeeping Services",Accountants,5163744744,Not Available,40.628657,-73.705496
The Rogers Strategy Group LLC,Garden City,NY,11530,87 Pine St,Not Available,0,0,0,Professional Services,"Business Consulting Services, NEC",Business Consultants,9179524053,Not Available,40.721828,-73.619375
Lida Printing,New York City,NY,10012,270 Lafayette St # 708,Not Available,0,0,0,Printing & Publishing,Printing and Writing Paper,Printing Paper,7327210906,Not Available,40.723879,-73.996528
